Dummy Policy No,ASSURED_AGE,NOMINEE_RELATION,OCCUPATION,POLICY SUMASSURED,Premium,PREMIUMPAYMENTMODE,Annual Income,HOLDERMARITALSTATUS,INDIV_REQUIREMENTFLAG,Policy Term,Policy Payment Term,CORRESPONDENCECITY,CORRESPONDENCESTATE,CORRESPONDENCEPOSTCODE,CHANNEL,Bank code,Date of Death,INTIMATIONDATE,STATUS,SUB_STATUS,Fraud Category
-1.7307401370765474,-2.552905741235088,6,11,0.055352945645936215,-0.15907360486508015,2,-0.06281344063214403,1,1,-0.6107357227268716,0.02752409412816096,445,13,853,3,,47,23,1,3,8
-1.7281178035355222,-1.3182595869015339,5,11,-0.374801026809226,-0.419328861898624,4,-0.07101019937763244,0,1,0.011493098592114559,0.02752409412816096,488,16,382,3,,53,19,1,3,8
-1.7254954699944973,-1.2232868057989528,12,10,-0.374801026809226,-0.419328861898624,4,-0.06865363123830452,0,1,0.011493098592114559,0.02752409412816096,50,31,673,3,,20,43,1,3,8
-1.7228731364534722,-1.2232868057989528,12,11,-0.3874526142343779,-0.419328861898624,4,-0.06486263031851613,0,1,-0.6107357227268716,0.02752409412816096,298,29,237,3,,12,24,1,3,8
-1.720250802912447,0.6761688162526683,5,6,-0.5013169010607443,-0.419328861898624,4,-0.056665871573027736,0,1,0.011493098592114559,0.02752409412816096,94,26,598,3,,17,17,1,3,8
-1.717628469371422,-0.17858621367056118,10,0,-0.46336213878528887,-0.419328861898624,4,-0.06861947807686498,0,1,-0.6107357227268716,0.02752409412816096,306,16,397,3,,0,0,0,11,8
-1.715006135830397,-1.413232368004115,5,2,-0.374801026809226,-0.419328861898624,4,-0.06896100969126033,0,1,0.011493098592114559,0.02752409412816096,200,25,295,3,,8,18,1,3,8
-1.7123838022893718,-0.08361343256798012,10,11,-0.29889150225831507,-0.3174898482768025,4,-0.050518302513911435,0,1,-0.36184419419927716,0.02752409412816096,197,27,460,0,-0.18806387666603816,15,26,1,3,8
-1.709761468748347,-0.3685317758757233,12,4,0.4602037432507948,0.021973530462602496,4,-0.04928878870208818,0,1,-0.36184419419927716,0.02752409412816096,293,26,612,0,-0.18806387666603816,44,9,1,3,8
-1.7071391352073217,-1.8880962735170204,2,10,-0.05092038872533916,-0.20659847788859687,4,-0.04437073345479514,1,1,-0.36184419419927716,0.02752409412816096,290,13,900,0,-0.18806387666603816,0,0,0,11,8
-1.7045168016662966,-0.6534501191834665,12,2,-0.04585975375527843,-0.20433538869700082,4,-0.03617397470930674,0,1,-0.36184419419927716,0.02752409412816096,343,8,10,0,-0.18806387666603816,4,36,1,3,8
-1.7018944681252717,0.6761688162526683,10,2,-0.05092038872533916,-0.20659847788859687,4,-0.057348934801818435,0,1,-0.36184419419927716,0.02752409412816096,414,31,683,0,-0.18806387666603816,52,6,1,3,8
-1.6992721345842465,0.29627769184234415,1,11,0.4602037432507948,0.021973530462602496,4,0.16874499392790318,0,1,-0.36184419419927716,0.02752409412816096,26,14,583,0,-0.18806387666603816,34,14,1,3,8
-1.6966498010432214,0.6761688162526683,11,6,-0.29889150225831507,-0.3174898482768025,4,-0.06076425094577193,0,1,-0.36184419419927716,0.02752409412816096,394,16,371,0,-0.18806387666603816,14,7,1,3,8
-1.6940274675021965,0.48622325404750627,5,6,-0.29889150225831507,-0.3174898482768025,4,-0.056665871573027736,0,1,-0.36184419419927716,0.02752409412816096,179,29,127,0,-0.18806387666603816,48,10,1,3,8
-1.6914051339611713,-0.17858621367056118,1,6,-0.29889150225831507,-0.3174898482768025,4,-0.06117408888304635,0,1,-0.36184419419927716,0.02752409412816096,404,29,202,0,-0.18806387666603816,25,23,1,3,8
-1.6887828004201462,-0.7484229002860475,5,11,1.4723307372629413,-0.230250023029967,4,-0.06281344063214403,0,0,-0.6107357227268716,0.02752409412816096,192,11,33,0,-0.18806387666603816,32,43,1,2,8
-1.6861604668791212,-0.6534501191834665,12,11,0.004746595945328892,-0.3682056770604696,4,-0.04641992314116724,0,1,-0.6107357227268716,0.02752409412816096,354,1,550,0,-0.18806387666603816,24,1,1,3,8
-1.683538133338096,0.3912504729449252,12,11,-0.1976788028571004,-0.3449569617952036,4,-0.06076425094577193,0,0,-0.6107357227268716,0.02752409412816096,82,31,648,0,-0.18806387666603816,46,3,1,3,8
-1.680915799797071,-0.6534501191834665,12,11,0.1140563112986407,-0.3559442598204023,4,-0.05325055542907424,0,1,-0.6107357227268716,0.02752409412816096,116,14,588,0,-0.18806387666603816,31,25,1,3,8
-1.678293466256046,0.6761688162526683,10,8,0.6120227923526168,-0.11966643277181843,4,-0.050518302513911435,0,0,0.13593886285591178,0.02752409412816096,170,1,541,0,-0.18806387666603816,1,40,1,3,8
-1.6756711327150209,-0.3685317758757233,11,11,0.10595929534654354,-0.3394350241677092,4,-0.055846195698478894,0,1,-0.6107357227268716,0.02752409412816096,292,24,71,0,-0.18806387666603816,38,8,1,3,8
-1.6730487991739957,0.5811960351500873,12,11,-0.1976788028571004,-0.33475269263029706,4,-0.058715061259399834,0,0,-0.6107357227268716,0.02752409412816096,299,21,710,0,-0.18806387666603816,43,15,1,3,8
-1.6704264656329708,-1.2232868057989528,5,11,0.30838469414897285,-0.3646752579215798,4,-0.05461668188665564,0,0,-0.6107357227268716,0.02752409412816096,123,4,945,0,-0.18806387666603816,51,3,1,3,8
-1.6678041320919457,0.3912504729449252,10,11,-0.1470724531564931,-0.33354872918036793,4,-0.04300460699721374,0,0,-0.6107357227268716,0.02752409412816096,459,11,35,0,-0.18806387666603816,2,23,1,3,8
-1.6651817985509205,-0.4635045569783044,6,11,-0.1976788028571004,-0.383166959706111,4,-0.050518302513911435,0,1,-0.6107357227268716,0.02752409412816096,281,26,615,0,-0.18806387666603816,27,17,1,3,8
-1.6625594650098956,-0.6534501191834665,5,11,0.10595929534654354,-0.3568517585862323,4,-0.049835239285120736,0,1,-0.6107357227268716,0.02752409412816096,506,13,908,0,-0.18806387666603816,16,37,1,3,8
-1.6599371314688705,-1.5082051491066961,6,11,1.5735434366641559,0.9272092071010158,4,0.004809819018135242,1,1,0.011493098592114559,0.02752409412816096,405,13,914,0,-0.18806387666603816,13,29,1,3,8
-1.6573147979278453,-1.2232868057989528,11,10,-0.34443721698886165,-0.37297400598716246,0,-0.06865363123830452,0,1,0.6337219199111007,0.02752409412816096,50,31,673,3,,20,43,1,3,8
-1.6546924643868204,0.7711415973552495,12,11,0.055352945645936215,-0.15907360486508015,1,-0.05256749220028354,0,0,-0.6107357227268716,0.02752409412816096,100,2,818,3,,41,33,1,3,8
-1.6520701308457952,-3.2177152089531553,2,0,-0.3393765820188009,-0.314943872936257,4,-0.0599445750712231,0,1,0.011493098592114559,0.02752409412816096,337,27,508,0,-0.18806387666603816,29,31,1,3,8
-1.64944779730477,-1.7931234924144392,12,11,-0.3393765820188009,-0.314943872936257,4,-0.06076425094577193,0,1,0.011493098592114559,0.02752409412816096,10,4,955,0,-0.18806387666603816,0,0,3,0,8
-1.6468254637637452,-1.413232368004115,12,0,-0.3393765820188009,-0.314943872936257,4,-0.06691182000488824,0,1,0.011493098592114559,0.02752409412816096,236,27,466,0,0.8396992200184248,36,30,1,3,8
